更新时间,#genre#
2024-10-23 18:14:29,url
📺央视频道,#genre#
广西卫视,http://221.205.130.91:9999/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://139.196.151.191:2051/rtp/239.45.0.5:5140
广西卫视,http://110.177.146.171:888/rtp/239.1.1.40:8040
广西卫视,http://120.55.49.231:3095/rtp/233.50.201.49:5140
广西卫视,http://60.164.128.167:8029/rtp/239.255.29.4:8231
广西卫视,http://122.9.151.210:887/rtp/238.255.2.64:5999
贵州卫视,http://36.40.237.103:9999/tsfile/live/0132_4.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://221.205.129.229:9999/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://221.205.129.74:9999/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://221.205.130.91:9999/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://139.196.151.191:2051/rtp/239.45.1.80:5140
贵州卫视,http://110.177.146.171:888/rtp/239.1.1.43:8043
贵州卫视,http://120.55.49.231:3095/rtp/233.50.201.142:5140
贵州卫视,http://120.55.49.231:3095/rtp/233.50.201.69:5140
贵州卫视,http://60.164.128.167:8029/rtp/239.255.30.98:8231
贵州卫视,http://122.9.151.210:887/rtp/238.255.2.1:5999
海南卫视,http://36.40.237.103:9999/tsfile/live/0121_2.m3u8?key=txiptv&playlive=0&authid=0
海南卫视,http://139.196.151.191:2051/rtp/239.45.1.81:5140
海南卫视,http://110.177.146.171:888/rtp/239.1.1.55:8055
海南卫视,http://120.55.49.231:3095/rtp/233.50.201.55:5140
海南卫视,http://60.164.128.167:8029/rtp/239.255.30.99:8231
海南卫视,http://122.9.151.210:887/rtp/238.255.2.58:5999
河北卫视,http://36.40.237.103:9999/tsfile/live/0135_2.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://139.196.151.191:2051/rtp/239.45.1.44:5140
河北卫视,http://110.177.146.171:888/rtp/239.1.1.48:8048
河北卫视,http://120.55.49.231:3095/rtp/233.50.201.140:5140
河北卫视,http://120.55.49.231:3095/rtp/233.50.201.50:5140
河北卫视,http://60.164.128.167:8029/rtp/239.255.30.85:8231
河北卫视,http://122.9.151.210:887/rtp/238.255.2.77:5999
河南卫视,http://221.205.130.91:9999/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://221.205.129.74:9999/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://221.205.129.229:9999/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://139.196.151.191:2051/rtp/239.45.0.3:5140
河南卫视,http://110.177.146.171:888/rtp/239.1.1.34:8034
河南卫视,http://120.55.49.231:3095/rtp/233.50.201.144:5140
河南卫视,http://120.55.49.231:3095/rtp/233.50.201.44:5140
河南卫视,http://60.164.128.167:8029/rtp/239.255.29.3:8231
河南卫视,http://122.9.151.210:887/rtp/238.255.2.74:5999
吉林卫视,http://221.205.129.229:9999/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://36.40.237.103:9999/tsfile/live/0132_5.m3u8?key=txiptv&playlive=0&authid=0
吉林卫视,http://221.205.129.74:9999/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://221.205.130.91:9999/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://139.196.151.191:2051/rtp/239.45.0.6:5140
吉林卫视,http://110.177.146.171:888/rtp/239.1.1.30:8030
吉林卫视,http://120.55.49.231:3095/rtp/233.50.201.48:5140
吉林卫视,http://60.164.128.167:8029/rtp/239.255.29.5:8231
吉林卫视,http://122.9.151.210:887/rtp/238.255.2.95:5999
江苏卫视,http://221.205.129.229:9999/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://221.205.130.91:9999/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://36.40.237.103:9999/tsfile/live/0123_2.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://221.205.129.74:9999/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://139.196.151.191:2051/rtp/239.45.3.177:5140
江苏卫视,http://110.177.146.171:888/rtp/239.1.1.35:8035
江苏卫视,http://120.55.49.231:3095/rtp/233.50.201.106:5140
江苏卫视,http://120.55.49.231:3095/rtp/233.50.201.41:5140
江苏卫视,http://60.164.128.167:8029/rtp/239.255.30.131:8231
江苏卫视,http://122.9.151.210:887/rtp/238.255.2.104:5999
江西卫视,http://36.40.237.103:9999/tsfile/live/0132_8.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://221.205.129.229:9999/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://221.205.130.91:9999/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://221.205.129.74:9999/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://139.196.151.191:2051/rtp/239.45.1.122:5140
